NumberOfMeshes: 1
MeshName: pCubeShape1
NumberOfVertices: 150
-2.23256 4.63239 0.783493
-0.373 4.94958 0.995375
0.332126 4.94958 0.995375
2.18376 4.63239 0.783493
-2.13496 5.63252 0.646625
-0.863487 5.63252 1.04613
0.863487 5.63252 1.04613
2.08615 5.63252 0.646625
-2.59046 6.63264 0.302248
-0.863487 6.63264 1.29627
0.863487 6.63264 1.29627
2.59046 6.63264 0.302248
-2.59046 7.63277 0.635171
-0.863487 7.88802 1.60349
0.863487 7.88802 1.60349
2.59046 7.63277 0.635171
-2.59046 8.63289 1.38158
-0.863487 8.63289 0.575823
0.863487 8.63289 0.575823
2.59046 8.63289 1.38158
-7.16402 9.10676 3.46945e-018
-0.863487 8.63289 3.46945e-018
0.863487 8.63289 3.46945e-018
7.1119 9.09709 3.46945e-018
-2.59046 8.63289 -1.38158
-0.863487 8.63289 -0.837432
0.863487 8.63289 -0.837432
2.59046 8.63289 -1.38158
-2.59046 7.63277 -1.48114
-0.863487 7.63277 -1.48114
0.863487 7.63277 -1.48114
2.59046 7.63277 -1.48114
-2.59046 6.63264 -1.03449
-0.863487 6.63264 -1.03449
0.863487 6.63264 -1.03449
2.59046 6.63264 -1.03449
-2.13496 5.63252 -1.03449
-0.863487 5.63252 -1.25558
0.863487 5.63252 -1.25558
2.08615 5.63252 -1.03449
-2.23256 4.63239 -1.03449
-0.373 4.94958 -1.03449
0.332126 4.94958 -1.03449
2.18376 4.63239 -1.03449
-2.59046 4.63239 0
-0.373 4.63239 0
0.332126 4.63239 0
2.59046 4.63239 0
2.08615 5.63252 0
2.59046 6.63264 1.73472e-018
-2.13496 5.63252 0
-2.59046 6.63264 1.73472e-018
4.2659 6.63264 -0.749119
4.57441 6.63264 -1.73472e-018
3.6398 7.63277 -0.749119
3.94831 7.63277 -3.46945e-018
4.2659 6.63264 0.728634
3.6398 7.63277 0.728634
2.92772 8.26433 -0.749119
4.26705 8.26433 3.72529e-009
2.92772 8.26433 0.728634
-4.30955 6.63264 -0.749119
-4.64377 6.63264 5.86733e-008
-3.99263 7.63277 5.96046e-008
-3.65841 7.63277 -0.749119
-4.30955 6.63264 0.728635
-3.65841 7.63277 0.728635
-4.29536 8.29066 9.22009e-008
-2.84675 8.29066 -0.749119
-2.84675 8.29066 0.728635
0.863487 0.84063 -0.575156
2.59046 0.84063 -0.575156
2.59046 0.84063 -6.51926e-009
