NumberOfMeshes: 2
MeshName: pTankHullShape
NumberOfVertices: 676
0 0.718617 0.414972
0 0.718617 -0.100827
0 0.894427 -2.62029
0 0.795983 -3.3743
0 -0.378756 0.414972
0 -0.378756 -0.100827
0 -0.604432 -2.62029
0 -0.330594 -3.13867
0 0.00308897 -3.13864
0 0.212948 -3.13864
0 -0.0129648 0.886353
0 0.352826 0.886353
0 0.795983 -2.90685
0 -0.378756 -2.90685
0 -0.604432 -0.773086
0 0.894427 -0.773086
0 -0.604432 -1.85172
0 0.894427 -1.85172
0 0.357001 -3.3743
0 0.553132 0.620483
3.23469 0.728163 4.23539
3.23469 0.777395 -4.20774
2.50617 0.728163 4.23539
2.50617 0.777395 -4.22015
1.79748 0.72814 4.23539
1.79748 0.777395 -4.22015
1.19506 0.501717 2.9083
1.23984 0.718617 -0.100827
1.23984 0.718617 -2.62029
1.23984 0.640069 -3.68614
0.619922 0.543572 0.414972
0.619922 0.718617 -0.100827
0.619923 0.894427 -2.62029
0.619922 0.717435 -3.68614
0.619923 -0.378756 0.414972
0.619923 -0.378756 -0.100827
0.619923 -0.604432 -2.62029
0.619923 -0.330594 -3.54267
1.19506 -0.295046 2.9083
1.23984 -0.378756 -0.100827
1.23984 -0.378756 -2.62029
1.23984 -0.330594 -3.54267
1.85977 -0.295046 3.60652
1.85977 -0.378756 -0.100827
1.85977 -0.378756 -2.62029
1.85977 -0.330594 -3.67098
3.11697 -0.370515 3.60652
3.11697 -0.378756 -0.100827
3.11697 -0.378756 -2.62029
3.11697 -0.330594 -3.67098
0.619923 0.00308897 -3.69253
1.23984 0.00308897 -3.69253
0.619923 0.212948 -3.69253
1.23984 0.212948 -3.69253
0.530361 -0.0129649 0.886352
1.19506 0.0149384 2.9083
0.530361 0.352826 0.886352
1.19506 0.194369 2.9083
0.619921 0.795983 -2.90685
0.619923 -0.378756 -2.90685
1.23984 -0.378756 -2.90685
1.85977 -0.378756 -2.90685
3.11697 -0.378756 -2.90685
1.23984 0.718617 -2.90685
0.619922 -0.604432 -0.773086
1.23984 -0.378756 -0.773086
1.85977 -0.378756 -0.773086
3.11697 -0.378756 -0.773086
1.23984 0.718617 -0.773086
0.619923 0.894427 -0.773086
1.85977 -0.541897 3.60652
1.85977 -0.541894 -0.100827
1.85977 -0.541916 -0.773086
1.85977 -0.541916 -2.62029
1.85977 -0.541876 -2.90685
3.11697 -0.541894 -0.100827
3.11697 -0.541897 3.60652
3.11697 -0.541916 -0.773086
3.11697 -0.541876 -2.90685
3.11697 -0.541916 -2.62029
1.85977 -0.475638 -3.69364
3.11697 -0.445557 -3.67098
1.47512 -0.541897 3.60652
1.47512 -0.541894 -0.100827
1.4751 -0.541894 -0.773086
1.4751 -0.541894 -2.62029
1.47512 -0.541894 -2.90685
3.49634 -0.541894 -0.100827
3.7649 -0.541897 3.60652
3.49634 -0.541916 -0.773086
4.01283 -0.541894 -2.90685
4.01283 -0.541916 -2.62029
1.47512 -0.51787 -3.67098
1.47517 -0.330594 -3.67098
4.01283 -0.445557 -3.67098
